,,,Salary,Salary,Salary,Salary,Salary,Salary,,#NAME?
81,Dillon Brooks,HOU,"$22,255,493 ","$21,124,110 ","$19,992,727 ",,,,"$63,372,330 ",brookdi01
82,De'Andre Hunter,CLE,"$21,696,429 ","$23,303,571 ","$24,910,714 ",,,,"$69,910,714 ",huntede01
83,Lonzo Ball,CHI,"$21,395,348 ","$10,000,000 ","$10,000,000 ",,,,"$31,395,348 ",balllo01
84,Marcus Smart,WAS,"$20,210,284 ","$21,586,855 ",,,,,"$41,797,139 ",smartma01
85,Derrick White,BOS,"$20,071,429 ","$28,100,000 ","$30,348,000 ","$32,596,000 ","$34,844,000 ",,"$111,115,429 ",whitede01
86,Jarrett Allen,CLE,"$20,000,000 ","$20,000,000 ","$28,000,000 ","$30,240,000 ","$32,480,000 ",,"$130,720,000 ",allenja01
87,Nikola Vučević,CHI,"$20,000,000 ","$21,481,481 ",,,,,"$41,481,481 ",vucevni01
88,Myles Turner,IND,"$19,928,500 ",,,,,,"$19,928,500 ",turnemy01
89,Jakob Poeltl,TOR,"$19,500,000 ","$19,500,000 ","$19,500,000 ",,,,"$39,000,000 ",poeltja01
90,Duncan Robinson,MIA,"$19,406,000 ","$19,888,000 ",,,,,"$29,294,000 ",robindu01
91,Norman Powell,LAC,"$19,241,379 ","$20,482,758 ",,,,,"$39,724,137 ",powelno01
92,Bojan Bogdanović,BRK,"$19,032,850 ",,,,,,"$19,032,850 ",bogdabo02
93,Keldon Johnson,SAS,"$19,000,000 ","$17,500,000 ","$17,500,000 ",,,,"$54,000,000 ",johnske04
94,D'Angelo Russell,BRK,"$18,692,307 ",,,,,,"$18,692,307 ",russeda01
95,Collin Sexton,UTA,"$18,350,000 ","$19,175,000 ",,,,,"$37,525,000 ",sextoco01
96,Josh Hart,NYK,"$18,144,000 ","$19,472,240 ","$20,923,760 ","$22,375,280 ",,,"$58,540,000 ",hartjo01
97,Jusuf Nurkić,CHO,"$18,125,000 ","$19,375,000 ",,,,,"$37,500,000 ",nurkiju01
98,Patrick Williams,CHI,"$18,000,000 ","$18,000,000 ","$18,000,000 ","$18,000,000 ","$18,000,000 ",,"$72,000,000 ",willipa01
99,Harrison Barnes,SAS,"$18,000,000 ","$19,000,000 ",,,,,"$37,000,000 ",barneha02
100,Malik Monk,SAC,"$17,405,203 ","$18,797,619 ","$20,190,035 ","$21,582,451 ",,,"$56,392,857 ",monkma01
101,Bogdan Bogdanović,LAC,"$17,260,000 ","$16,020,000 ","$16,020,000 ",,,,"$33,280,000 ",bogdabo01
102,Rui Hachimura,LAL,"$17,000,000 ","$18,259,259 ",,,,,"$35,259,259 ",hachiru01
103,Kevin Huerter,CHI,"$16,830,357 ","$17,991,071 ",,,,,"$34,821,428 ",huertke01
104,Zach Collins,CHI,"$16,741,200 ","$18,080,496 ",,,,,"$34,821,696 ",colliza01
