Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48?,OBPM,DBPM,BPM,VORP,Awards,Player-additional
70,Naz Reid,24,MIN,PF,81,14,1964,16,0.595,0.479,0.174,4.4,19.3,12.2,8.3,1.6,3.3,10.8,23.1,1.1,3.8,4.9,0.12,0.4,1.1,1.5,1.7,6MOY-1,reidna01
71,De'Aaron Fox,26,SAC,PG,74,74,2659,20.1,0.567,0.374,0.273,2.8,11.8,7.2,25.2,2.7,1.1,10.1,31,3.3,3.2,6.5,0.117,2.6,0.1,2.7,3.2,CPOY-12,foxde01
72,Brook Lopez,35,MIL,C,79,79,2411,14.8,0.608,0.535,0.177,5.4,13,9.3,7.1,0.9,6.7,8.8,16,3.1,2.8,5.9,0.117,0.2,0.8,1,1.8,,lopezbr01
73,Brandon Ingram,26,NOP,SF,64,64,2103,18.2,0.578,0.238,0.302,2.3,14.7,8.6,26.7,1.2,1.9,12.4,27.2,2.7,2.4,5.1,0.117,1.4,-0.3,1.2,1.7,,ingrabr01
74,Alex Caruso,29,CHI,SG,71,57,2040,14.5,0.613,0.616,0.177,3.3,11.8,7.5,16.4,2.9,3.5,14.9,14.7,2.3,2.6,4.9,0.115,0.2,2.3,2.5,2.3,DPOY-10,carusal01
75,Michael Porter Jr.,25,DEN,SF,81,81,2565,15.5,0.601,0.513,0.102,4.7,19.3,12.2,6.7,0.8,1.8,7.5,20.7,3.1,3.1,6.2,0.115,1.2,-1.2,0.1,1.3,,portemi01
76,Immanuel Quickley,24,2TM,SG,68,38,1985,16.7,0.577,0.484,0.274,0.9,13.7,7.2,24.6,1.2,0.5,9.2,23.8,3.5,1.2,4.7,0.115,2.2,-0.9,1.3,1.7,,quickim01
77,Cason Wallace,20,OKC,SG,82,13,1692,12,0.612,0.529,0.084,3.6,8.6,6.2,8.9,2.2,2,8.9,12.9,1.9,2.1,4,0.115,-0.9,1,0.1,0.9,,wallaca01
78,Trae Young,25,ATL,PG,54,54,1942,20.3,0.585,0.465,0.404,1.2,7.3,4.2,45.1,1.8,0.5,16.5,30.5,4,0.6,4.6,0.114,4.9,-2.3,2.6,2.2,AS,youngtr01
79,Jonathan Kuminga,21,GSW,PF,74,46,1949,17,0.598,0.191,0.347,5.2,14.4,9.8,12.5,1.4,1.7,10.9,24.1,2.7,1.9,4.6,0.113,0,-0.4,-0.4,0.8,,kuminjo01
80,Julius Randle,29,NYK,PF,46,46,1630,18.9,0.569,0.292,0.361,6.8,22.4,14.6,22.8,0.8,0.7,14.1,29.9,1.9,1.9,3.8,0.113,2.2,-0.3,1.9,1.6,AS,randlju01
81,Tyus Jones,27,WAS,PG,66,66,1933,16.5,0.578,0.384,0.06,1.1,9,5,34.6,1.7,0.8,8.8,16.3,3.9,0.7,4.5,0.113,1.5,-0.9,0.7,1.3,,jonesty01
82,Bobby Portis,28,MIL,PF,82,4,2008,17.5,0.581,0.268,0.135,7.9,24.8,16.6,7.8,1.6,1.4,8.6,22.9,2.1,2.6,4.7,0.112,0,-0.8,-0.8,0.6,6MOY-3,portibo01
83,Jalen Suggs,22,ORL,SG,75,75,2025,14.1,0.602,0.539,0.218,2.8,10.6,6.6,15,2.6,2.2,14.4,19.7,1.5,3.2,4.7,0.112,-0.6,1.6,1,1.5,DPOY-10,suggsja01
84,Tre Jones,24,SAS,PG,77,48,2138,14.7,0.591,0.318,0.197,2.9,11.8,7.3,30.8,1.7,0.3,15.1,15.2,3.4,1.6,4.9,0.111,-0.4,0.1,-0.4,0.9,,jonestr01
85,Jabari Smith Jr.,20,HOU,PF,76,76,2424,13.8,0.571,0.456,0.222,6.1,21.3,13.6,7.1,1,2.3,8.9,17.6,2.4,3.2,5.6,0.111,-0.5,0.1,-0.4,1,,smithja05
86,John Collins,26,UTA,PF,68,66,1901,17.5,0.621,0.311,0.248,9.2,24,16.7,6.1,1,2.9,10.6,20.4,3.1,1.3,4.4,0.11,0.5,-1.4,-0.9,0.5,,collijo01
87,Rui Hachimura,25,LAL,PF,68,39,1826,15,0.628,0.343,0.198,3.7,13.7,8.9,6.3,1.1,1.2,5.9,18.5,2.7,1.5,4.1,0.108,0,-0.9,-0.9,0.5,,hachiru01
88,Austin Reaves,25,LAL,SG,82,57,2629,15.5,0.613,0.447,0.289,2.5,11.9,7.4,23.5,1.2,0.8,14.1,20.3,3.9,2,5.9,0.108,0.9,-0.4,0.4,1.6,,reaveau01
89,Bradley Beal,30,PHO,SG,53,53,1767,16.3,0.607,0.32,0.182,3.6,10.8,7.4,22.5,1.4,1.3,14.2,22.7,2.4,1.5,3.9,0.107,0.9,-0.6,0.4,1.1,,bealbr01
90,Nickeil Alexander-Walker,25,MIN,SG,82,20,1921,10.9,0.578,0.623,0.121,2.2,7.5,4.9,14.5,1.6,1.9,11.8,14.8,1.5,2.8,4.3,0.107,-1.1,1.3,0.2,1.1,,alexani01
91,Terance Mann,27,LAC,SG,75,71,1873,12,0.615,0.414,0.193,5.4,9.7,7.7,8.5,1.1,0.7,8.2,13.6,3,1.2,4.2,0.106,-0.8,-0.7,-1.5,0.2,,mannte01
92,Isaac Okoro,23,CLE,SF,69,42,1887,11.4,0.599,0.448,0.285,4,8.2,6.1,9.5,1.5,1.6,9.1,13.9,2.1,2,4.2,0.106,-1.8,0.7,-1.1,0.4,,okorois01
93,Deandre Ayton,25,POR,C,55,55,1784,18.9,0.587,0.013,0.105,10.4,28.9,19.1,8.8,1.5,2.1,11.2,21.1,1.8,2.1,3.9,0.106,0.5,-0.2,0.3,1,,aytonde01
94,Nicolas Batum,35,2TM,PF,60,38,1529,10.2,0.603,0.723,0.082,5,13.1,9,10.7,1.5,2.3,13.1,8.6,1.7,1.6,3.3,0.103,-1.3,0.8,-0.4,0.6,,batumni01
95,Josh Giddey,21,OKC,SG,80,80,2011,16.6,0.547,0.287,0.146,6.4,21.5,14.2,26.6,1.2,2,15.7,23.1,1.4,2.9,4.3,0.102,1,0.4,1.5,1.8,,giddejo01
96,Precious Achiuwa,24,2TM,PF,74,18,1624,14.6,0.545,0.207,0.239,13,20.5,16.7,8.4,1.4,3.9,13.8,15.9,1.2,2.2,3.4,0.102,-1.7,0.3,-1.4,0.2,,achiupr01
97,Kyle Lowry,37,2TM,PG,60,55,1690,10.9,0.594,0.663,0.199,2.2,10.8,6.4,20.1,1.7,1.2,17.2,12.9,1.6,1.9,3.5,0.1,-1.9,0.9,-1,0.4,,lowryky01
98,Brandin Podziemski,20,GSW,SG,74,28,1968,13,0.54,0.392,0.132,6.6,16.7,11.7,18.1,1.5,0.6,12.2,15.4,2.1,2,4.1,0.1,-0.5,0.4,-0.1,0.9,ROY-5,podzibr01
99,Cameron Johnson,27,BRK,PF,58,47,1599,14.5,0.582,0.57,0.176,3.7,13.8,8.6,12.9,1.5,0.8,7.9,19.6,2,1.3,3.3,0.1,0.9,-0.5,0.4,1,,johnsca02
100,Josh Hart,28,NYK,SF,81,42,2707,11.8,0.522,0.38,0.169,5.3,22.8,14,16.3,1.4,0.8,13.9,13.5,2,3.6,5.7,0.1,-1.3,1.4,0,1.4,,hartjo01
101,Nikola Vu?evi?,33,CHI,C,76,74,2610,17.7,0.54,0.258,0.107,8.8,25.8,17.1,15.2,1,2.4,8.6,23.3,2.7,2.8,5.4,0.1,0.8,-0.7,0.1,1.4,,vucevni01
102,Christian Braun,22,DEN,SG,82,4,1655,12.1,0.554,0.34,0.277,5.4,14.8,10.2,10.2,1.3,1.8,9.2,15.7,1.5,2,3.4,0.1,-1.7,-0.2,-1.9,0,,braunch01
103,Norman Powell,30,LAC,SG,76,3,1990,13.9,0.626,0.5,0.224,0.9,9.8,5.5,5.9,1.1,1,7.3,20,2.8,1.3,4.1,0.099,0.4,-1.2,-0.8,0.6,6MOY-4,powelno01
104,D'Angelo Russell,27,LAL,PG,76,69,2484,16,0.588,0.505,0.178,1.3,8.9,5.3,27.6,1.3,1.3,11.8,23,3.3,1.8,5.1,0.099,1.7,-0.8,0.9,1.8,,russeda01
105,Aaron Nesmith,24,IND,SF,72,47,1995,12.8,0.631,0.526,0.216,3.6,12,7.8,6.6,1.5,2,8.4,16,2.8,1.3,4.1,0.098,-0.3,-0.2,-0.5,0.8,,nesmiaa01
106,Scottie Barnes,22,TOR,SG,60,60,2094,19.5,0.566,0.314,0.266,7.3,18.9,13,26.2,1.7,3.7,13.6,24.8,2.3,2,4.3,0.098,2.9,0.8,3.7,3,AS,barnesc01
107,Jalen Johnson,22,ATL,SF,56,52,1889,16.3,0.584,0.285,0.209,4.1,24.8,14.1,15.4,1.7,2.2,11.6,19.1,2.1,1.7,3.8,0.098,0.4,0.8,1.2,1.5,,johnsja05
108,Luguentz Dort,24,OKC,SF,79,79,2246,11.1,0.593,0.603,0.236,3.8,10,7,6.3,1.5,1.9,9.3,15.4,2,2.5,4.6,0.097,-1.4,-0.2,-1.6,0.2,,dortlu01
109,Keegan Murray,23,SAC,SF,77,77,2588,13.3,0.569,0.524,0.127,4.5,13.9,9.1,6.9,1.5,2.1,5.9,18.1,2.6,2.6,5.2,0.096,-0.4,-0.5,-0.9,0.8,,murrake02
110,Kentavious Caldwell-Pope,30,DEN,SG,76,76,2402,10.7,0.602,0.525,0.193,1.5,6.8,4.2,9.5,2,1.5,10.5,12.9,2.2,2.6,4.8,0.096,-2.1,0.7,-1.4,0.4,,caldwke01
111,Cole Anthony,23,ORL,PG,81,0,1817,14.6,0.545,0.36,0.286,4.1,16.1,10.1,19.8,1.7,1.9,12.8,23.7,0.9,2.7,3.6,0.096,-0.6,0.7,0.1,1,,anthoco01
112,Harrison Barnes,31,SAC,PF,82,82,2381,11.9,0.611,0.526,0.268,3.1,8.8,5.9,5.6,1.1,0.5,6.6,15.7,3.1,1.5,4.7,0.094,-0.6,-1.2,-1.8,0.1,,barneha02
113,Jaime Jaquez Jr.,22,MIA,SF,75,20,2113,12.9,0.574,0.29,0.251,4.4,11,7.6,13.9,1.8,0.9,12.4,18.7,1.4,2.7,4,0.092,-2.2,0.3,-1.9,0.1,ROY-46MOY-9,jaqueja01
114,Duncan Robinson,29,MIA,SF,68,36,1905,12.2,0.612,0.701,0.133,0.9,9.5,5.1,15.1,1.2,0.8,11.7,19,1.6,2,3.6,0.091,-0.5,-0.4,-0.9,0.6,,robindu01
115,Terry Rozier,29,2TM,SG,61,60,2040,17.3,0.555,0.411,0.198,1.9,12,6.8,27.5,1.5,1,8.9,25.9,2.3,1.6,3.9,0.091,2.2,-0.7,1.5,1.8,,roziete01
116,Paolo Banchero,21,ORL,PF,80,80,2799,17.3,0.546,0.249,0.397,3.4,20,11.6,25.2,1.3,1.6,13,29.7,1.3,4,5.3,0.09,1.3,0,1.3,2.3,AS,banchpa01
117,Malik Monk,25,SAC,SG,72,0,1872,16,0.564,0.474,0.23,1.6,11.3,6.3,28.9,1.2,1.9,13.2,25.9,1.9,1.6,3.5,0.09,1.5,-1,0.6,1.2,CPOY-126MOY-2,monkma01
118,Kevin Huerter,25,SAC,SG,64,59,1562,12.4,0.564,0.609,0.084,2.7,13.6,8,14.4,1.4,1.3,8.4,17.3,1.5,1.4,2.9,0.089,-0.5,-0.4,-0.8,0.5,,huertke01
119,Ayo Dosunmu,24,CHI,SG,76,37,2212,13.4,0.604,0.41,0.146,2.7,8.3,5.5,15.6,1.5,1.7,11.9,17.2,2.6,1.5,4.1,0.089,-0.6,-0.2,-0.8,0.7,,dosunay01
120,Caris LeVert,29,CLE,SG,68,10,1958,14.6,0.524,0.405,0.245,2.3,13.7,8,25.7,1.9,1.6,11.4,23.1,1,2.6,3.6,0.088,-0.6,0.8,0.2,1.1,,leverca01
121,Victor Wembanyama,20,SAS,C,71,71,2106,23.1,0.565,0.332,0.309,8.2,30.7,19.4,21.5,2,10,16.2,32.2,-0.7,4.4,3.7,0.085,1.9,3.3,5.2,3.8,ROY-1DPOY-2,wembavi01
122,Royce O'Neale,30,2TM,SF,79,14,1954,11.1,0.548,0.783,0.065,3.4,17.9,10.7,15,1.5,2,11.6,13.9,1.3,2.1,3.4,0.085,-1,1,0,1,,onealro01
123,Dejounte Murray,27,ATL,SG,78,78,2783,17.7,0.555,0.379,0.179,2.3,14.4,8.1,27.9,1.9,0.8,11.3,26.6,3.3,1.6,4.9,0.084,2.3,-0.6,1.7,2.6,,murrade01
124,Derrick Jones Jr.,26,DAL,SF,76,66,1783,11.7,0.592,0.483,0.275,5,10.3,7.7,5.5,1.4,2.5,10.5,14.9,1.5,1.6,3.1,0.083,-1.3,-0.3,-1.5,0.2,,jonesde02
125,Max Strus,27,CLE,SF,70,70,2239,11.7,0.553,0.658,0.133,3.4,13.5,8.5,17.3,1.4,1.2,12.7,17.4,1.2,2.6,3.9,0.083,-1.1,0.5,-0.6,0.8,,strusma01
126,Jabari Walker,21,POR,SF,72,23,1700,13,0.546,0.273,0.336,9.4,25,16.7,6.2,1.2,1.2,10.2,16.3,1.4,1.6,2.9,0.083,-2.4,-0.9,-3.3,-0.6,,walkeja01
